state,year,pm10,pm25,no2
Baden-Württemberg,2016,17.56087759625292,,30.528978930703477
Baden-Württemberg,2017,17.62378657010957,,29.341119973624252
Baden-Württemberg,2018,17.277246202444474,,28.786432221712285
Baden-Württemberg,2019,15.723652924734395,9.828353187850897,25.58675383639769
Baden-Württemberg,2020,14.537609222682562,8.610642754592165,21.225023188627606
Baden-Württemberg,2021,13.769478490747417,8.5924118806925,19.530640220951128
Baden-Württemberg,2022,14.86898170701343,8.501886613923277,19.47236974986061
Baden-Württemberg,2023,12.349474745112813,7.125218543208068,17.025839128168382
Baden-Württemberg,2024,12.161883398298412,7.0365567786975705,17.025704959450778
Baden-Württemberg,2025,14.523269523647244,9.635847729918037,17.856321899785296
Baden-Württemberg,2026,17.60697668898068,13.407529502868487,22.739713917417006
Bayern,2016,17.56087759625292,11.453322746874658,25.936833633185852
Bayern,2017,17.62378657010957,12.157029120042818,25.54071664823051
Bayern,2018,17.277246202444474,12.79678954156989,23.874878337184494
Bayern,2019,15.723652924734395,10.354890589562295,22.14788570084857
Bayern,2020,14.537609222682562,9.63445066141976,19.082760033038433
Bayern,2021,13.769478490747417,8.80401936452952,18.446378206636503
Bayern,2022,14.86898170701343,9.92708762597147,17.785955197118575
Bayern,2023,12.349474745112813,8.869142476927687,16.21956451303001
Bayern,2024,12.161883398298412,7.962715837442766,15.231271187199509
Bayern,2025,14.523269523647244,9.728446565104663,16.277905286333578
Bayern,2026,17.60697668898068,13.58028443405416,21.137426046940902
Berlin,2016,22.131185488767457,,25.509267105302232
Berlin,2017,21.32423352902805,14.960593607305936,24.98599793524313
Berlin,2018,22.46920526201348,15.000424005218525,23.511517274976026
Berlin,2019,18.9558871493803,12.685034790171777,21.786355838117828
Berlin,2020,17.52956891317547,11.411414693381905,19.29451126625084
Berlin,2021,18.947549467275497,12.736391310363913,18.956105432815104
Berlin,2022,18.78722291407223,12.055591531755915,17.55938391480017
Berlin,2023,16.473267607582677,10.457326691573266,16.726295324197363
Berlin,2024,18.075244245736048,11.31410415631727,15.267685625780658
Berlin,2025,17.97812785388128,11.58062681610627,16.0482189313078
Berlin,2026,27.84437596302003,21.85169491525424,19.257276118469637
Brandenburg,2016,19.12040791870386,14.719637308475303,18.77428284705659
Brandenburg,2017,18.469256016754212,14.75012488917701,16.536954774715927
Brandenburg,2018,20.00773222338683,14.32874103065884,17.074490882179038
Brandenburg,2019,17.02395575905309,11.219533890766767,15.361451401999068
Brandenburg,2020,14.017054714530987,9.47663993565633,13.653633403316812
Brandenburg,2021,14.928793628448185,11.111765661378525,13.358902835792321
Brandenburg,2022,15.689852996913748,9.929846860504991,12.785538485164619
Brandenburg,2023,14.030124288060557,8.45662235818579,10.552518153505446
Brandenburg,2024,14.78332931442518,9.225641397685232,10.21233475433538
Brandenburg,2025,14.899323299888517,9.51370599105084,12.097221725930945
Brandenburg,2026,25.047379400260755,21.141851368970013,16.655373123253558
Bremen,2016,18.555802758261777,11.719034608378871,23.566801794509743
Bremen,2017,18.377077625570777,11.60958904109589,22.773303568487044
Bremen,2018,19.65142857142857,12.73972602739726,22.474339346886122
Bremen,2019,17.806849315068494,11.152054794520549,21.1129744782761
Bremen,2020,15.972625552953422,9.41643897996357,17.863435621556548
Bremen,2021,15.745270711024135,9.727853881278538,18.355851405290306
Bremen,2022,16.28760600130463,9.588584474885845,17.65465834738047
Bremen,2023,13.831754729288974,8.535388127853881,15.44830790925789
Bremen,2024,14.11427920895134,8.900045537340619,16.072540431569468
Bremen,2025,15.67602413568167,8.488219178082192,17.574638502707764
Bremen,2026,20.18220338983051,15.722033898305085,19.974195214906544
Hamburg,2016,19.762239786625035,13.918715846994536,38.61997183839354
Hamburg,2017,19.220580560991518,13.645890410958904,35.58090932396838
Hamburg,2018,21.300375081539464,13.187260273972603,34.64917167313109
Hamburg,2019,19.143662752772343,11.66337899543379,31.829297686543054
Hamburg,2020,16.495547098620868,9.660245901639344,27.71826468492077
Hamburg,2021,16.618166992824527,10.354794520547944,26.660411248290146
Hamburg,2022,17.740117416829744,10.314155251141552,25.473992293106303
Hamburg,2023,14.626875407697325,9.079589041095891,23.784893923332195
Hamburg,2024,15.162689738919248,8.98046122820713,21.283508557795543
Hamburg,2025,16.043378995433788,9.89128180039139,21.208888953991202
Hamburg,2026,24.304143126177024,19.8969868173258,21.900761748510128
Hessen,2016,17.350225702700733,13.577413479052822,27.66685993144671
Hessen,2017,17.55679067991146,13.520479452054795,25.95751771495519
Hessen,2018,17.862912216008656,13.206629702109154,25.732998989047864
Hessen,2019,15.641575937458956,10.674365953681022,23.706930185448126
Hessen,2020,14.440804494585448,9.376686610293168,19.88849559487137
Hessen,2021,14.323707556849062,9.772194309535694,18.87065890691164
Hessen,2022,14.525026776508218,8.563697735413669,17.71393325232115
Hessen,2023,12.860465541367628,7.593994979324999,15.761318648020877
Hessen,2024,13.189343774756814,7.981308586903886,15.524565991010512
Hessen,2025,13.90259184308842,8.959116769774635,16.094760286299127
Hessen,2026,16.967257318952235,13.798472008217772,19.460853431061587
Mecklenburg-Vorpommern,2016,17.215811965811966,11.977898126463701,14.709919786772115
Mecklenburg-Vorpommern,2017,17.531399878660153,12.423483365949119,13.216085639760323
Mecklenburg-Vorpommern,2018,19.425393556215475,12.821575342465753,14.105108781908365
Mecklenburg-Vorpommern,2019,17.18453760851021,11.027650659842442,13.686455359095334
Mecklenburg-Vorpommern,2020,14.803443823935627,9.066924878400288,11.943065039377478
Mecklenburg-Vorpommern,2021,14.995530131968488,10.011333232977067,11.758792763169357
Mecklenburg-Vorpommern,2022,15.198721461187214,9.803142154649004,11.251733439900608
Mecklenburg-Vorpommern,2023,13.048969968387777,8.385981233378493,9.996781630948337
Mecklenburg-Vorpommern,2024,13.828838147280772,8.977367941712204,9.170680833318938
Mecklenburg-Vorpommern,2025,13.854942922374429,9.502785388127855,9.45481517043121
Mecklenburg-Vorpommern,2026,21.763347457627116,19.240607344632767,11.400157648561182
Niedersachsen,2016,16.10990199741566,12.200120985571806,20.734015483861164
Niedersachsen,2017,15.929916247121726,11.547945121849231,19.12422253514752
Niedersachsen,2018,17.07270405495063,12.274871931721247,19.035348004174434
Niedersachsen,2019,14.776718628910409,9.645401402250716,17.47158614921007
Niedersachsen,2020,12.882773874577152,7.826110785844392,14.702128602253788
Niedersachsen,2021,13.632012076203857,8.556208163982136,14.76049659221179
Niedersachsen,2022,14.12411014172777,8.83811869637212,14.35976490327458
Niedersachsen,2023,12.367256761503338,7.416381278538813,12.389987151973854
Niedersachsen,2024,12.913963338826726,8.011000212189316,12.07516138936214
Niedersachsen,2025,13.695623630555136,8.550652315720809,13.363997059015725
Niedersachsen,2026,20.099603002145376,16.718931727406304,16.553775042947045
Nordrhein-Westfalen,2016,19.288787967773512,13.209832562701417,30.05278016204581
Nordrhein-Westfalen,2017,19.461356292413686,13.12864769933263,29.158848536135757
Nordrhein-Westfalen,2018,20.275323043994632,13.358421395955641,28.072430332870592
Nordrhein-Westfalen,2019,17.61777927065292,11.079002148804728,25.41506510326313
Nordrhein-Westfalen,2020,16.68816801921606,9.484448987086717,21.532852494535053
Nordrhein-Westfalen,2021,17.132025955587714,10.951550985722912,21.878296750866873
Nordrhein-Westfalen,2022,17.219589222653603,10.289599271648454,21.22514015022107
Nordrhein-Westfalen,2023,14.576329554133364,8.920925635370194,18.49986255489115
Nordrhein-Westfalen,2024,13.93386498784349,8.95581285329815,18.218038265022788
Nordrhein-Westfalen,2025,15.684346858220687,9.798476089223556,19.01899817949449
Nordrhein-Westfalen,2026,16.31943225022854,12.9679349710906,19.664365419480472
Rheinland-Pfalz,2016,16.3946563964959,11.376003201413038,24.582851760500343
Rheinland-Pfalz,2017,16.92280127256197,11.3834800055348,23.522797571146945
Rheinland-Pfalz,2018,17.450384756882805,11.973805441134209,23.553451489761613
Rheinland-Pfalz,2019,15.614327409646867,10.356398761056296,21.553554475613353
Rheinland-Pfalz,2020,14.117899746419514,8.912348580381368,18.223598889445828
Rheinland-Pfalz,2021,14.157112777673339,9.58581829890049,17.685235773363647
Rheinland-Pfalz,2022,15.144600202105504,9.826094666368638,17.602850481173824
Rheinland-Pfalz,2023,13.137986473368487,8.620367988176207,14.680839884321747
Rheinland-Pfalz,2024,13.262792849527738,8.800841280759313,14.267892244080587
Rheinland-Pfalz,2025,14.95811296135854,10.351867812552744,15.774214932837914
Rheinland-Pfalz,2026,17.43171654626763,14.612995761300846,18.538228913799564
Saarland,2016,16.653734061930784,11.778082191780822,21.851507735093065
Saarland,2017,15.81579908675799,11.572602739726028,20.682370563887833
Saarland,2018,17.003770384866275,11.922651933701658,22.148930908247685
Saarland,2019,15.898564905414222,10.245179063360881,20.468778848894658
Saarland,2020,13.610948477751757,8.726775956284152,17.295817123030012
Saarland,2021,13.911725375081538,9.516483516483516,16.60198469983461
Saarland,2022,14.966503587736463,9.667597765363128,16.143141826996843
Saarland,2023,12.525815394651012,8.523287671232877,13.615701507396713
Saarland,2024,12.281111761644548,8.351548269581055,12.9612436498782
Saarland,2025,13.662752772341813,9.087214611872147,13.910825337638574
Saarland,2026,14.971852300242132,12.661016949152541,16.716716887430202
Sachsen,2016,18.18022435414584,,21.564393080481366
Sachsen,2017,16.68935776552215,,20.20984258052417
Sachsen,2018,19.056241974800017,,20.616455680872917
Sachsen,2019,15.205173363046471,,18.205802932552594
Sachsen,2020,13.658505428997232,,15.534653334177369
Sachsen,2021,13.871661187730275,8.718995127491036,15.556733761929802
Sachsen,2022,14.090457433854821,9.03921923227354,14.306008354159326
Sachsen,2023,11.447286093276578,7.225757877772594,12.69450449689273
Sachsen,2024,13.108453403915195,8.55593362266553,12.352519446952824
Sachsen,2025,13.589759885075548,8.897805197050712,13.0283377560063
Sachsen,2026,20.252370863599676,14.940969489193238,17.061076743469748
Sachsen-Anhalt,2016,17.716620377419495,13.116602697545321,18.252199787189486
Sachsen-Anhalt,2017,17.091858763212088,11.965764296586213,16.999538227353796
Sachsen-Anhalt,2018,19.053581376554465,13.036252446183953,16.78500351268859
Sachsen-Anhalt,2019,15.874408280976414,10.171912372254837,15.174317495894591
Sachsen-Anhalt,2020,14.95555144692332,9.312390493538034,13.386901766324035
Sachsen-Anhalt,2021,15.354439554677478,9.834360730593607,13.179969822254572
Sachsen-Anhalt,2022,15.521524046729525,9.482757121113286,12.235620032408494
Sachsen-Anhalt,2023,12.978026448437408,8.187502581803548,10.634292405382197
Sachsen-Anhalt,2024,14.303101301440387,8.692509426357065,11.131264164675217
Sachsen-Anhalt,2025,14.998996026804246,9.60862773922573,11.50425859375575
Sachsen-Anhalt,2026,24.654934969231213,21.69743194658449,15.099493553315346
Schleswig-Holstein,2016,17.402680197762166,11.133151183970856,33.27151358632586
Schleswig-Holstein,2017,17.078848662752772,10.46945205479452,27.706690671012375
Schleswig-Holstein,2018,18.27249619482496,11.421135029354206,25.33256955096854
Schleswig-Holstein,2019,17.500426179604265,10.691063274624918,23.529905045745302
Schleswig-Holstein,2020,14.617956891317547,8.295407233931824,19.623535928185426
Schleswig-Holstein,2021,13.97737116764514,7.810654490106546,19.004955999485478
Schleswig-Holstein,2022,14.76624918460535,7.6844922809306375,17.953911179956076
Schleswig-Holstein,2023,12.51951293759513,6.415650141335073,16.57575678187834
Schleswig-Holstein,2024,12.669414086217365,6.693246378697198,15.24629496394807
Schleswig-Holstein,2025,13.259092193955208,7.279495542509241,15.971645467484016
Schleswig-Holstein,2026,19.13370998116761,14.469868173258003,16.787478425494786
Thüringen,2016,15.07453792992607,12.021402550091073,17.96846081646534
Thüringen,2017,14.68314262691378,11.554337899543379,16.470867760442477
Thüringen,2018,16.951798504790045,12.100502283105023,16.672024984201887
Thüringen,2019,13.859737772782749,9.550722983257229,15.47142076118212
Thüringen,2020,13.343691785984838,9.953126897389193,13.344960687245296
Thüringen,2021,13.429002737841111,8.958984789943694,13.211272081848941
Thüringen,2022,14.295202887691966,8.890765216518641,12.492012970815713
Thüringen,2023,12.469874794426303,7.454404872980194,10.475391514926956
Thüringen,2024,13.747793154266787,8.240922138196664,10.412206687383657
Thüringen,2025,14.342489786109107,8.934599054714411,11.454509935473274
Thüringen,2026,20.721677074041036,16.47636039250669,16.915502653033666
