stellenart,berufe,letzteTaetigkeit.jahr,letzteTaetigkeit.bezeichnung
ARBEIT,"['Technische/r Assistent/in - medizinische Gerätetechnik', 'Fachkraft - Qualitätssicherung/-management', 'Projektassistent/in']",2025,Fachkraft - Qualitätssicherung/-management
ARBEIT,['Verkäufer/in'],,Helfer/in - Verkauf
ARBEIT,"['Botenfahrer/in', 'Helfer/in - Büro, Verwaltung', 'Helfer/in - Tierpflege']",2026,"Helfer/in - Büro, Verwaltung"
ARBEIT,"['Lager- und Transportarbeiter/in', 'Gabelstaplerfahrer/in']",2024,Lager- und Transportarbeiter/in
ARBEIT,['Helfer/in - Lebensmittelherstellung'],2019,Helfer/in - Lebensmittelherstellung
ARBEIT,['Helfer/in - Küche'],2025,Helfer/in - Küche
ARBEIT,"['Maschinen- und Anlagenführer/in (ohne Angabe des Schwerpunkts)', 'Gabelstaplerfahrer/in', 'Helfer/in - Lebensmittelherstellung']",2026,Helfer/in - Lebensmittelherstellung
ARBEIT,"['Helfer/in - Büro, Verwaltung', 'Helfer/in - Verkauf', 'Büroassistent/in']",,
ARBEIT,"['Helfer/in - Büro, Verwaltung', 'Helfer/in - Verkauf']",2025,Computergrafiker/in
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport']",2026,"Helfer/in - Lagerwirtschaft, Transport"
ARBEIT,"['Hauswart/in/Haustechniker/in', 'Helfer/in - Gartenbau']",2026,Hauswart/in/Haustechniker/in
ARBEIT,['Helfer/in - Reinigung'],,Helfer/in - Reinigung
ARBEIT,['Museumsaufseher/in'],2025,Verkäufer/in
ARBEIT,"['Ingenieur/in - Medizintechnik', 'Qualitätsingenieur/in', 'Ingenieur/in - Maschinenbau']",,
ARBEIT,['Syndikus-Anwalt/-Anwältin'],2025,Unternehmensberater/in
ARBEIT,"['Hausmeister/in', 'Gemeindearbeiter/in']",2023,Feinwerkmechaniker/in - Feinmechanik
ARBEIT,['Berufskraftfahrer/in'],,Helfer/in - Gartenbau
ARBEIT,"['Betriebsschlosser/in', 'Feinpolierer/in']",2026,Betriebsschlosser/in
ARBEIT,['Schulbegleiter/in'],2025,Schulbegleiter/in
ARBEIT,"['Helfer/in - Ausbau', 'Stuckateur/in', 'Tätowierer/in']",2025,Tätowierer/in
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Helfer/in - Verkauf', 'Helfer/in - Lebensmittelherstellung']",2024,"Helfer/in - Lagerwirtschaft, Transport"
ARBEIT,"['Außendienstmitarbeiter/in', 'Sales-Manager/in']",2025,Vertriebsberater/in
ARBEIT,['Eisenbahner/in - Betriebsdienst - Lokführer/in und Transport'],2026,Helfer/in - Metallbau
ARBEIT,['Tischler/in'],,Tischler/in
ARBEIT,['Helfer/in - Elektro'],2024,Helfer/in - Gartenbau
ARBEIT,"['Gebäudeenergieberater/in', 'Hochbauingenieur/in']",2025,"Gruppen-, Teamleiter/in"
ARBEIT,"['Unternehmensberater/in', 'Qualitätsmanager/in']",2024,Unternehmensberater/in
ARBEIT,['Buchhalter/in'],2024,Lohn- und Gehaltsbuchhalter/in
ARBEIT,"['Assistenzkraft - Kindertageseinrichtungen', 'Helfer/in - Büro, Verwaltung', 'Kaufmännische Fachkraft']",2026,Assistenzkraft - Kindertageseinrichtungen
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport']",,
ARBEIT,['Helfer/in - Reinigung'],,Helfer/in - Reinigung
ARBEIT,['Friseur/in'],2016,Kosmetiker/in
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Hausmeister/in', 'Empfangskraft']",,Sicherheitsmitarbeiter/in
ARBEIT,"['Industriemeister/in - Metall', 'Qualitätskontrolleur/in', 'Ingenieur/in - Maschinenbau']",2026,Zerspanungsmechaniker/in
ARBEIT,"['Kinderbetreuer/in', 'Kindergartenhelfer/in', 'Assistenzkraft - Kindertageseinrichtungen']",2024,Leiter/in - Verkauf (Handel)
ARBEIT,"['Helfer/in - Hochbau', 'Tiefbaufacharbeiter/in (ohne Angabe des Schwerpunkts)']",,Tiefbaufacharbeiter/in (ohne Angabe des Schwerpunkts)
ARBEIT,"['Sicherheitsmitarbeiter/in', 'Ordner/in bei Veranstaltungen']",,Sicherheitsmitarbeiter/in
ARBEIT,"['Fachverkäufer/in - Lebensmittelhandwerk (Bäckerei)', 'Helfer/in - Verkauf', 'Helfer/in - Lagerwirtschaft, Transport']",2026,Helfer/in - Verkauf
ARBEIT,"['Montierer/in', 'Helfer/in - Chemie- und Pharmatechnik', 'Chemisch-technische/r Assistent/in']",2025,Elektroprüfer/in
ARBEIT,['Helfer/in - Bodenverlegung'],2025,Helfer/in - Bodenverlegung
ARBEIT,['Helfer/in - Reinigung'],,
ARBEIT,['Helfer/in - Elektro'],,Helfer/in - Gartenbau
ARBEIT,"['Mechatroniker/in', 'Kaufmännische Fachkraft']",2026,Ordner/in bei Veranstaltungen
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Kommissionierer/in']",2025,Gärtner/in - Garten- und Landschaftsbau
ARBEIT,['Helfer/in - Fahrzeugbau und -instandhaltung'],,
ARBEIT,"['Helfer/in - Lebensmittelherstellung', 'Helfer/in - Lagerwirtschaft, Transport', 'Auslieferungsfahrer/in (nicht Verkaufsfahrer/in)']",2025,Gebäudereiniger/in
ARBEIT,"['Assistent/in - Gesundheits- und Sozialwesen', 'Verwaltungsangestellte/r - Krankenkassen, Krankenhäuser, Kliniken', 'Kaufmännische Fachkraft']",,Diskjockey
ARBEIT,['Helfer/in - Reinigung'],,
ARBEIT,['Sicherheitsmitarbeiter/in'],2026,Fahrer/in - Personenbeförderung
ARBEIT,['Gewerbekundenberater/in'],2024,Gewerbekundenberater/in
ARBEIT,"['Helfer/in - Küche', 'Helfer/in - Friseurgewerbe']",2026,"Helfer/in - Lagerwirtschaft, Transport"
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Helfer/in - Tiefbau']",2026,"Helfer/in - Lagerwirtschaft, Transport"
ARBEIT,['Sprechstunden-/Praxishelfer/in'],,Sprechstunden-/Praxishelfer/in
ARBEIT,"['Montagemechaniker/in, Anlagenmonteur/in', 'Industriemechaniker/in']",2023,Metallbauer/in - Metallgestaltung
ARBEIT,['Florist/in'],2025,Kassierer/in (Handel)
ARBEIT,['Kaufmann/-frau - Büromanagement'],2026,Verwaltungsfachangestellte/r - Kommunalverwaltung
ARBEIT,"['Helfer/in - Fahrzeugbau und -instandhaltung', 'Reifenmonteur/in']",2026,Helfer/in - Verkauf
ARBEIT,['Nachhilfelehrer/in'],,
ARBEIT,['Helfer/in - Küche'],2017,Büroassistent/in
ARBEIT,"['Helfer/in - Verkauf', 'Helfer/in - Büro, Verwaltung']",2023,Servicekraft - Gastronomie und Gastgewerbe
ARBEIT,"['Helfer/in - Kurier-, Zustell- und Postdienstleistungen', 'Helfer/in - Lagerwirtschaft, Transport', 'Helfer/in - Lebensmittelherstellung']",2025,"Kundendienstmonteur/in, -techniker/in"
ARBEIT,"['Hausmeister/in', 'Elektroniker/in - Energie- und Gebäudetechnik', 'Helfer/in - Lagerwirtschaft, Transport']",2025,Helfer/in - Metallbau
ARBEIT,"['Helfer/in - Ausbau', 'Hausmeister/in', 'Helfer/in - Lagerwirtschaft, Transport']",2025,Hausmeister/in
ARBEIT,"['Zerspanungsmechaniker/in', 'Techniker/in - Kältetechnik/Bachelor Professional in Technik', 'Betriebstechniker/in']",2026,Betriebstechniker/in
ARBEIT,['Journalist/in'],2025,Helfer/in - Gartenbau
ARBEIT,"['Fachkraft - Möbel-, Küchen- und Umzugsservice']",2025,"Fachkraft - Möbel-, Küchen- und Umzugsservice"
ARBEIT,"['Helfer/in - Gastgewerbe', 'Helfer/in - Altenpflege/Persönliche Assistenz', 'Kosmetiker/in']",2024,Kassierer/in (Handel)
ARBEIT,"['Helfer/in - Lebensmittelherstellung', 'Auslieferungsfahrer/in (nicht Verkaufsfahrer/in)', 'Helfer/in - Reinigung']",2025,Auslieferungsfahrer/in (nicht Verkaufsfahrer/in)
ARBEIT,"['Gabelstaplerfahrer/in', 'Helfer/in - Lagerwirtschaft, Transport', 'Helfer/in - Elektro']",2026,Lager- und Transportarbeiter/in
ARBEIT,"['Betriebswirt/in (Hochschule) - Kostenrechnung und Kalkulation', 'Betriebswirt/in (Hochschule) - Rechnungswesen und Controlling']",2022,Betriebswirt/in (Hochschule) - Rechnungswesen und Controlling
ARBEIT,"['Helfer/in - Reinigung', 'Helfer/in - Hauswirtschaft']",2022,Helfer/in - Verkauf
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport']",,Helfer/in - Ausbau
ARBEIT,"['Helfer/in - Altenpflege/Persönliche Assistenz', 'Helfer/in - Hauswirtschaft']",2018,Sekretär/in
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Helfer/in - Reinigung', 'Helfer/in - Bodenverlegung']",,
ARBEIT,"['Büroassistent/in', 'Außendienstmitarbeiter/in', 'Fachverkäufer/in - Nahrungsmittel']",,Außendienstmitarbeiter/in
ARBEIT,['Designer/in (Hochschule)'],2020,Modenäher/in
ARBEIT,"['Florist/in', 'Helfer/in - Gartenbau', 'Helfer/in - Verkauf']",2025,Baureiniger/in (Gebäudereinigung)
ARBEIT,"['Helfer/in - Tiefbau', 'Helfer/in - Bodenverlegung', 'Helfer/in - Malerei, Lackiererei']",2025,Koch/Köchin
ARBEIT,['Sicherheitsmitarbeiter/in'],2026,Sicherheitsmitarbeiter/in
ARBEIT,"['Kaufmann/-frau - Büromanagement', 'Projektassistent/in', 'Sachbearbeiter/in - Einkauf']",2025,Bürokaufmann/-frau
ARBEIT,"['Helfer/in - Verkauf', 'Helfer/in - Reinigung', 'Helfer/in - Lagerwirtschaft, Transport']",2026,Helfer/in - Verkauf
ARBEIT,"['Schulbegleiter/in', 'Assistenzkraft - Kindertageseinrichtungen']",,Friseur/in
ARBEIT,"['Helfer/in - Büro, Verwaltung', 'Callcenteragent/in', 'Vermietassistent/in (Kfz)']",2018,Buchhalter/in
ARBEIT,"['Helfer/in - Küche', 'Helfer/in - Reinigung', 'Helfer/in - Lebensmittelherstellung']",,Auslieferungsfahrer/in (nicht Verkaufsfahrer/in)
ARBEIT,['Helfer/in - Gartenbau'],2025,Helfer/in - Gartenbau
ARBEIT,['Fachmann/-frau - Systemgastronomie'],,
ARBEIT,['Schulbegleiter/in'],,
ARBEIT,"['Vorarbeiter/in - Tiefbau', 'Tiefbaufacharbeiter/in (ohne Angabe des Schwerpunkts)', 'Straßenwärter/in']",2026,Tiefbaufacharbeiter/in (ohne Angabe des Schwerpunkts)
ARBEIT,"['Berufskraftfahrer/in', 'Hausmeister/in', 'Helfer/in - Bodenverlegung']",2025,Hausmeister/in
ARBEIT,"['Betreuungskraft / Alltagsbegleiter/in', 'Helfer/in - Büro, Verwaltung']",2019,Callcenteragent/in
ARBEIT,['Fleischer/in'],2024,Helfer/in - Reinigung
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Helfer/in - Papier, Verpackung']",2026,"Helfer/in - Lagerwirtschaft, Transport"
ARBEIT,"['Sicherheitsmitarbeiter/in', 'Helfer/in - Gartenbau']",2025,Helfer/in - Gastgewerbe
ARBEIT,['Fachinformatiker/in - Anwendungsentwicklung'],2024,Fitnesstrainer/in
ARBEIT,"['Sicherheitsmitarbeiter/in', 'Auslieferungsfahrer/in (nicht Verkaufsfahrer/in)', 'Helfer/in - Lagerwirtschaft, Transport']",2025,Sicherheitsmitarbeiter/in
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Helfer/in - Küche', 'Fahrzeugpfleger/in']",2026,Helfer/in - Reinigung
ARBEIT,"['Helfer/in - Reinigung', 'Helfer/in - Gartenbau', 'Helfer/in - Hochbau']",2020,Helfer/in - Reinigung
ARBEIT,"['Helfer/in - Büro, Verwaltung']",2017,Gärtner/in - Garten- und Landschaftsbau
ARBEIT,['Helfer/in - Verkauf'],2026,Helfer/in - Verkauf
ARBEIT,"['Berufskraftfahrer/in', 'Auslieferungsfahrer/in (nicht Verkaufsfahrer/in)', 'Botenfahrer/in']",2023,Berufskraftfahrer/in
ARBEIT,['Schweißer/in'],2026,Helfer/in - Metallbau
ARBEIT,"['Schulbegleiter/in', 'Helfer/in - Büro, Verwaltung']",2026,Schulbegleiter/in
ARBEIT,['Helfer/in - Lebensmittelherstellung'],2022,Helfer/in - Ausbau
ARBEIT,"['Helfer/in - Fahrzeugbau und -instandhaltung', 'Helfer/in - Farb- und Lacktechnik', 'Helfer/in - Malerei, Lackiererei']",2019,"Helfer/in - Malerei, Lackiererei"
ARBEIT,['Helfer/in - Gartenbau'],2026,Hausmeister/in
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Helfer/in - Verkauf']",2023,Helfer/in - Verkauf
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Helfer/in - Verkauf']",2025,Helfer/in - Verkauf
ARBEIT,"['Helfer/in - Büro, Verwaltung', 'Fachlagerist/in']",2020,"Helfer/in - Lagerwirtschaft, Transport"
ARBEIT,"['Helfer/in - Büro, Verwaltung', 'Empfangskraft', 'Büroassistent/in']",2026,"Helfer/in - Büro, Verwaltung"
ARBEIT,"['Kinderbetreuer/in', 'Servicekraft - Gastronomie und Gastgewerbe', 'Helfer/in - Lagerwirtschaft, Transport']",,Kinderbetreuer/in
ARBEIT,"['Fachlagerist/in', 'Gabelstaplerfahrer/in', 'Helfer/in - Metallbearbeitung']",2026,Helfer/in - Tiefbau
ARBEIT,['Fitnesstrainer/in'],2016,Helfer/in - Küche
ARBEIT,"['Kaufmann/-frau - Gesundheitswesen', 'Arztsekretär/in', 'Kaufmännische Fachkraft']",2026,Kaufmännische Fachkraft
ARBEIT,"['Helfer/in - Reinigung', 'Helfer/in - Hauswirtschaft']",2026,Helfer/in - Reinigung
ARBEIT,"['Helfer/in - Verkauf', 'Helfer/in - Gartenbau', 'Helfer/in - Lagerwirtschaft, Transport']",,
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport']",2024,"Helfer/in - Lagerwirtschaft, Transport"
ARBEIT,"['Helfer/in - Reinigung', 'Hauswirtschafter/in (ohne Schwerpunkte)']",2023,Helfer/in - Reinigung
ARBEIT,['Helfer/in - Ausbau'],,Helfer/in - Ausbau
ARBEIT,"['Helfer/in - Lagerwirtschaft, Transport', 'Helfer/in - Küche']",2016,Helfer/in - Reinigung
ARBEIT,"['Helfer/in - Büro, Verwaltung', 'Kaufmann/-frau - Bürokommunikation']",2021,Helfer/in - Gastgewerbe
ARBEIT,"['Zerspanungsmechaniker/in - Automaten-Drehtechnik', 'CNC-Dreher/in']",2025,CNC-Dreher/in
ARBEIT,"['Pflegeassistent/in', 'Altenpflegehelfer/in']",2022,"Kaufmann/-frau - Einzelhandel (Textil, Bekleidung)"
ARBEIT,['Event-Manager/in'],2023,Vertriebsberater/in
ARBEIT,"['Helfer/in - Verkauf', 'Helfer/in - Gastgewerbe']",,Helfer/in - Gastgewerbe
ARBEIT,"['Kassierer/in (Handel)', 'Ambulante/r Pfleger/in', 'Helfer/in - Gastgewerbe']",,
ARBEIT,"['Mediaplaner/in', 'Betriebswirt/in (Fachschule) - Marketingkommunikation/Bachelor Professional in Wirtschaft', 'Betriebswirt/in (Hochschule) - Marketing']",2026,Media-Fachkraft
ARBEIT,['Helfer/in - Küche'],,
ARBEIT,['Polster- und Dekorationsnäher/in'],2024,Polster- und Dekorationsnäher/in
ARBEIT,['Pförtner/in'],2020,"Helfer/in - Büro, Verwaltung"
ARBEIT,"['Helfer/in - Verkauf', 'Helfer/in - Küche', 'Helfer/in - Gastgewerbe']",,Helfer/in - Küche
ARBEIT,['Helfer/in - Verkauf'],2024,Verkäufer/in
ARBEIT,['Berufskraftfahrer/in'],2026,Berufskraftfahrer/in
ARBEIT,['Lehrer/in - berufliche Schulen'],2026,Account-Manager/in
ARBEIT,['Kaufmann/-frau - Büromanagement'],,
ARBEIT,['Elektroniker/in - Energie- und Gebäudetechnik'],2024,Elektroniker/in - Energie- und Gebäudetechnik
ARBEIT,"['Helfer/in - Büro, Verwaltung']",2025,Buchhalter/in
ARBEIT,['Verkäufer/in'],,
ARBEIT,['Pferdepfleger/in'],,Helfer/in - Landwirtschaft
ARBEIT,['Museumsaufseher/in'],2025,Verwaltungsfachangestellte/r - Landesverwaltung
ARBEIT,"['Assistent/in - Logistik', 'Mechaniker/in - Land- und Baumaschinentechnik']",2025,Mechaniker/in - Karosserieinstandhaltungstechnik
ARBEIT,"['Physikalisch-technische/r Assistent/in', 'Physiklaborant/in']",2025,Wissenschaftliche/r Mitarbeiter/in
ARBEIT,['Hörgeräteakustiker/in'],,
ARBEIT,['Kaufmännische Fachkraft'],2026,Wirtschaftsingenieur/in
ARBEIT,['Helfer/in - Küche'],,Helfer/in - Reinigung
ARBEIT,['Helfer/in - Tiefbau'],2026,Helfer/in - Ver- und Entsorgung
ARBEIT,['Prozessmanager/in - Produktionstechnologie'],2026,Prozessmanager/in - Produktionstechnologie
ARBEIT,['Museumsaufseher/in'],2024,Erzieher/in
ARBEIT,['Elektroniker/in - Betriebstechnik'],2026,Elektroniker/in - Betriebstechnik
ARBEIT,"['Gabelstaplerfahrer/in', 'Helfer/in - Lagerwirtschaft, Transport', 'Auslieferungsfahrer/in (nicht Verkaufsfahrer/in)']",2026,Gabelstaplerfahrer/in
ARBEIT,['Helfer/in - Küche'],,Helfer/in - Küche
ARBEIT,['Helfer/in - Verkauf'],2026,Helfer/in - Verkauf
ARBEIT,"['Helfer/in - Küche', 'Helfer/in - Reinigung']",2025,Helfer/in - Küche
ARBEIT,['Helfer/in - Küche'],2024,Helfer/in - Gastgewerbe
ARBEIT,"['Betreuungskraft / Alltagsbegleiter/in', 'Empfangskraft']",2024,Betreuungskraft / Alltagsbegleiter/in
ARBEIT,['Immobilienmakler/in'],2024,Marketingfachkraft/-assistent/in
ARBEIT,['Museumsaufseher/in'],2023,Krankenschwester/-pfleger
ARBEIT,"['Bodensteward/-stewardess', 'Marketingfachkraft/-assistent/in']",,
ARBEIT,['Helfer/in - Küche'],2025,Helfer/in - Küche
ARBEIT,"['Handelsvertreter/in', 'Digital-Event-Manager/in']",2026,Handelsvertreter/in
ARBEIT,['Helfer/in - Altenpflege/Persönliche Assistenz'],2026,Friseur/in
